n,max_days,max_kilometers,kilometers,drugs,alcohol,kills,hardkills,brokenitems,crafteditems,decoration,death_outside,death_inside,death_drugs,death_water,death_ill,death_suicide,death_bomb,chainsaw,cardoor,vh,maxdef,spice,king,maso,castle,TOTALDAYS
KPOS,7,6,88,3,1,4,0,3,0,89,0,1,0,1,0,0,0,0,0,0,15,0,0,0,0,12
TEST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TEDDY,5,15,45,3,1,3,1,2,0,14,3,0,0,0,0,0,0,0,0,0,20,0,0,0,0,12
ALPH4,9,8,43,1,0,7,0,5,0,6,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,9
AYMERICAB,6,8,37,1,0,5,5,2,0,26,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,6
MAMADI,4,4,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
AYMERIC,9,9,105,0,1,7,2,3,0,73,1,0,0,1,0,0,0,0,0,0,30,0,0,0,0,15
